title,sinopsis,isbn
"Evermore (The Immortals, #1)","Since a horrible accident claimed the lives of her family, Ever can see auras, hear people's thoughts, and know a person's entire life story by touch. Going out of her way to avoid human contact and suppress her abilities has branded her as a freak at her new high school—but everything changes when she meets Damen. Damen Auguste is gorgeous, exotic and wealthy. He's the only one who can silence the noise and random energy in her head—wielding a magic so intense, it's as though he can see straight into her soul. As Ever is drawn deeper into his enticing world of secrets and mystery, she's left with more questions than answers. She has no idea just who he really is—or what he is. The only thing she knows to be true is she's falling deeply and helplessly in love with him.",031253275X
The Trial,,0099428644
Half Broke Horses,"It is 1970 in a small town in California. ""Bean"" Holladay is twelve and her sister, Liz, is fifteen when their artistic mother, Charlotte, takes off to find herself, leaving her girls enough money to last a month or two. When Bean returns from school one day and sees a police car outside the house, she and Liz decide to take the bus to Virginia, where their widowed Uncle Tinsley lives in the decaying mansion that's been in Charlotte's family for generations ... An impetuous optimist, Bean soon discovers who her father was, and hears stories about why their mother left Virginia in the first place. Money is tight, and the sisters start babysitting and doing office work for Jerry Maddox, foreman of the mill in town, who bullies his workers, his tenants, his children, and his wife. Liz is whip-smart--an inventor of word games, reader of Edgar Allan Poe, nonconformist. But when school starts in the fall, it's Bean who easily adjusts, and Liz who becomes increasingly withdrawn. And then something happens to Liz in the car with Maddox.",1416586288
"The Secret (The Secret, #1)",,1582701709
"The Alienist (Dr. Laszlo Kreizler, #1)",,0812976142
"Lamb: The Gospel According to Biff, Christ''s Childhood Pal",,0380813815
The Age of Innocence,,159308143X
Man's Search for Meaning,,080701429X
"The Dark Tower (The Dark Tower, #7)",,1416524525
The Witch of Blackbird Pond,"Orphaned Kit Tyler knows, as she gazes for the first time at the cold, bleak shores of Connecticut Colony, that her new home will never be like the shimmering Caribbean island she left behind. In her relatives' stern Puritan community, she feels like a tropical bird that has flown to the wrong part of the world, a bird that is now caged and lonely. The only place where Kit feels completely free is in the meadows, where she enjoys the company of the old Quaker woman known as the Witch of Blackbird Pond, and on occasion, her young sailor friend Nat. But when Kit's friendship with the ""witch"" is discovered, Kit is faced with suspicion, fear, and anger. She herself is accused of witchcraft!",0440995779
"The Princess Diaries (The Princess Diaries, #1)",,0613371658
The Hours,"A daring, deeply affecting third novel by the author of A Home at the End of the World and Flesh and Blood. In The Hours, Michael Cunningham, widely praised as one of the most gifted writers of his generation, draws inventively on the life and work of Virginia Woolf to tell the story of a group of contemporary characters struggling with the conflicting claims of love and inheritance, hope and despair. The narrative of Woolf's last days before her suicide early in World War II counterpoints the fictional stories of Richard, a famous poet whose life has been shadowed by his talented and troubled mother, and his lifelong friend Clarissa, who strives to forge a balanced and rewarding life in spite of the demands of friends, lovers, and family. Passionate, profound, and deeply moving, this is Cunningham's most remarkable achievement to date.",0312305060
"Girl, Interrupted","In 1967, after a session with a psychiatrist she'd never seen before, eighteen-year-old Susanna Kaysen was put in a taxi and sent to McLean Hospital. She spent most of the next two years on the ward for teenage girls in a psychiatric hospital as renowned for its famous clientele--Sylvia Plath, Robert Lowell, James Taylor, and Ray Charles--as for its progressive methods of treating those who could afford its sanctuary. Kaysen's memoir encompasses horror and razor-edged perception while providing vivid portraits of her fellow patients and their keepers. It is a brilliant evocation of a ""parallel universe"" set within the kaleidoscopically shifting landscape of the late sixties. Girl, Interrupted is a clear-sighted, unflinching document that gives lasting and specific dimension to our definitions of sane and insane, mental illness and recovery.",0679746048
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,,0849946158
My Ántonia,"My Antonia, first published 1918, is one of Willa Cather's greatest works. It is the last novel in the Prairie trilogy, preceded by O Pioneers! and The Song of the Lark.My Antonia tells the stories of several immigrant families who move out to rural Nebraska to start new lives in America, with a particular focus on a Bohemian family, the Shimerdas, whose eldest daughter is named Antonia. The book's narrator, Jim Burden, arrives in the fictional town of Black Hawk, Nebraska, on the same train as the Shimerdas, as he goes to live with his grandparents after his parents have died. Jim develops strong feelings for Antonia, something between a crush and a filial bond, and the reader views Antonia's life, including its attendant struggles and triumphs, through that lens.",1583485090
Orange Is the New Black,"This is a compelling, often hilarious, and unfailingly compassionate portrait of life inside a women's prison. With a career, a boyfriend, and a loving family, the author barely resembles the reckless young woman who delivered a suitcase of drug money ten years before. But that past has caught up with her. Convicted and sentenced to fifteen months at the infamous federal correctional facility in Danbury, Connecticut, the well-heeled Smith College alumna is now inmate #11187-424, one of the millions of people who disappear ""down the rabbit hole"" of the American penal system. From her first strip search to her final release, she learns to navigate this strange world with its strictly enforced codes of behavior and arbitrary rules. She meets women from all walks of life, who surprise her with small tokens of generosity, hard words of wisdom, and simple acts of acceptance.",0385523386
"Mort (Death, #1; Discworld, #4)",,0061020680
"Wolves of the Calla (The Dark Tower, #5)",,141651693X
Paradise Lost,,0140424393
"One Fish, Two Fish, Red Fish, Blue Fish","A story-poem about the activities of such unusual animals as the Nook, Wump, Yink, Yop, Gack, and the Zeds.",0007173687
As I Lay Dying,"Written in stream-of-consciousness style with multiple narrators, the story follows a journey wherein the family of a dead woman try to transport her body to her birthplace in Mississippi in accordance with her wishes. When a ford across a river is flooded they are forced to take a roundabout route and it becomes a desperate race to complete their mission before the body begins to decompose.",067973225X
"Doctor Sleep (The Shining, #2)",,1476727651
"Pandemonium (Delirium, #2)",,006197806X
White Fang,"The story of a wolf/dog cross, who is raised by Indians, and becomes a deadly fighter.",0439236193
"Something Blue (Darcy & Rachel, #2)",,0312323867
"Julie and Julia: 365 Days, 524 Recipes, 1 Tiny Apartment Kitchen: How One Girl Risked Her Marriage, Her Job, and Her Sanity to Master the Art of Living",,031610969X
Because of Winn-Dixie,,0763616052
The Girl Who Loved Tom Gordon,The Girl Who Loved Tom Gordon (1999) is a psychological horror novel by American writer Stephen King.,1416524290
Shanghai Girls (Shanghai Girls #1),,1400067111
Before I Fall,"What if you had only one day to live? What would you do? Who would you kiss? And how far would you go to save your own life?Samantha Kingston has it all: the world's most crush-worthy boyfriend, three amazing best friends, and first pick of everything at Thomas Jefferson High—from the best table in the cafeteria to the choicest parking spot. Friday, February 12, should be just another day in her charmed life.Instead, it turns out to be her last.Then she gets a second chance. Seven chances, in fact. Reliving her last day during one miraculous week, she will untangle the mystery surrounding her death—and discover the true value of everything she is in danger of losing.",0061726818
The Exorcist,"The Exorcist is a 1971 horror novel by American writer William Peter Blatty. The book details the demonic possession of eleven-year-old Regan MacNeil, the daughter of a famous actress, and the two priests who attempt to exorcise the demon. Published by Harper & Row, the novel was the basis of a highly successful film adaptation released two years later, whose screenplay was also written and produced by Blatty, and part of The Exorcist franchise. The novel was inspired by a 1949 case of demonic possession and exorcism that Blatty heard about while he was a student in the class of 1950 at Georgetown University. As a result, the novel takes place in Washington, D.C., near the campus of Georgetown University. In September 2011, the novel was reprinted by Harper Collins to celebrate its fortieth anniversary, with slight revisions made by Blatty as well as interior title artwork by Jeremy Caniglia.",0061007226
"The Lies of Locke Lamora (Gentleman Bastard, #1)",,0553804677
The Complete Sherlock Holmes,Contains: - [Adventures of Sherlock Holmes](https://openlibrary.org/works/OL262421W/The_Adventures_of_Sherlock_Holmes) [Scandal in Bohemia](https://openlibrary.org/works/OL14930611W/A_Scandal_in_Bohemia) [Red-Headed League](https://openlibrary.org/works/OL262476W/The_Red-Headed_League) [Case of Identity](https://openlibrary.org/works/OL14929939W/A_Case_of_Identity) [Boscombe Valley Mystery](https://openlibrary.org/works/OL18495288W/The_Boscombe_Valley_Mystery) [Five Orange Pips](https://openlibrary.org/works/OL1518120W/Five_Orange_Pips) [Man with the Twisted Lip](https://openlibrary.org/works/OL14930258W/Man_With_the_Twisted_Lip) [Adventure of the Blue Carbuncle](https://openlibrary.org/works/OL1518317W/Adventure_of_the_Blue_Carbuncle) [Adventure of the Speckled Band](https://openlibrary.org/works/OL262561W/Adventure_of_the_Speckled_Band) [Adventure of the Engineer's Thumb](https://openlibrary.org/works/OL1518318W/Adventure_of_the_Engineer's_Thumb) [Adventure of the Noble Bachelor](https://openlibrary.org/works/OL14929841W/Adventure_of_the_Noble_Bachelor) [Adventure of the Beryl Coronet](https://openlibrary.org/works/OL14929825W/Adventure_of_the_Beryl_Coronet) [Adventure of the Copper Beeches](https://openlibrary.org/works/OL1518116W/Adventure_of_the_Copper_Beeches) - Case-Book of Sherlock Holmes - His Last Bow - [Hound of the Baskervilles](https://openlibrary.org/works/OL262454W) - [Memoirs of Sherlock Holmes](https://openlibrary.org/works/OL262598W/Memoirs_of_Sherlock_Holmes) [11 stories] [Silver Blaze](https://openlibrary.org/works/OL1518358W/Silver_Blaze) [Adventure of the Yellow Face](https://openlibrary.org/works/OL20571966W/Adventure_of_the_Yellow_Face) [Adventure of the Stockbroker's Clerk](https://openlibrary.org/works/OL20619319W/Adventure_of_the_Stockbroker's_Clerk) [Adventure of the Gloria Scott](https://openlibrary.org/works/OL20619337W/Adventure_of_the_Gloria_Scott) [Adventure of the Musgrave Ritual](https://openlibrary.org/works/OL20619374W/Adventure_of_the_Musgrave_Ritual) Adventure of the Reigate Squire Crooked Man Adventure of the Resident Patient Adventure of the Greek Interpreter [Naval Treaty](https://openlibrary.org/works/OL14930289W/The_Naval_Treaty) Final Problem - [Return of Sherlock Holmes](https://openlibrary.org/works/OL262480W/The_Return_of_Sherlock_Holmes) [Adventure of the Empty House](https://openlibrary.org/works/OL1518119W/The_Adventure_of_the_Empty_House) [Adventure of the Norwood Builder](https://openlibrary.org/works/OL262418W/Adventure_of_the_Norwood_Builder) [Dancing Men](https://openlibrary.org/works/OL262417W/The_Dancing_Men) [Adventure of the Solitary Cyclist](https://openlibrary.org/works/OL1518122W/Adventure_of_the_Solitary_Cyclist) [Adventure of the Priory School](https://openlibrary.org/works/OL1518319W/Adventure_of_the_Priory_School) Black Peter [Adventure of Charles Augustus Milverton](https://openlibrary.org/works/OL20621973W/Adventure_of_Charles_Augustus_Milverton) [Six Napoleons](https://openlibrary.org/works/OL20628495W) [Adventure of the Three Students](https://openlibrary.org/works/OL1518368W/Adventure_of_the_Three_Students) [Adventure of the Golden Pince-Nez](https://openlibrary.org/works/OL18191848W/Adventure_of_the_Golden_Pince-Nez) [Adventure of the Missing Three-Quarter](https://openlibrary.org/works/OL18191816W/Adventure_of_the_Missing_Three_Quarter) [Adventure of the Abbey Grange](https://openlibrary.org/works/OL17084226W/Adventure_of_the_Abbey_Grange) [Second Stain](https://openlibrary.org/works/OL18191864W/Second_Stain) - [Sign of Four](https://openlibrary.org/works/OL262585W/The_Sign_of_Four) - [Study in Scarlet](https://openlibrary.org/works/OL16290253W/A_Study_in_Scarlet) - Valley of Fear,0553328255
"Betrayed (House of Night, #2)",,0312360282
The True Story of the 3 Little Pigs,,0140544518
The Elegance of the Hedgehog,"Renée is the concierge of a grand Parisian apartment building, home to members of the great and the good. But beneath this façade lies the real Renée: passionate about culture and the arts, and more knowledgeable in many ways than her employers with their outwardly successful but emotionally void lives.",1933372605
Foundation and Empire (Foundation #2),,0553803727
The Storyteller,"Sage Singer becomes friends with an old man who is particularly beloved in her community after they strike up a conversation at the bakery where she works. Josef Weber is everyone's favorite retired teacher and Little League coach. One day he asks Sage for a favor, to kill him. Shocked, Sage refuses, but then he tells her he deserves to die. Once he reveals his secret, Sage wonders if he is right. Can someone who has committed a truly heinous act ever redeem themselves with good behavior? Should you offer forgiveness to someone if you are not the party who was wronged? And most of all, if Sage even considers his request, is it murder, or justice? What do you do when evil lives next door?",1439102767
Desperation,"Located off a desolate stretch of Interstate 50, Desperation, Nevada has few connections with the rest of the world. It is a place, though, where the seams between worlds are thin. Miners at the China Pit have accidentally broken into another dimension and released a horrific creature known as Tak, who takes human form by hijacking some of the town's residents. The forces of good orchestrate a confrontation between this ancient evil and a group of unsuspecting travelers who are lured to the dying town. This rag-tag band of unwilling champions is led by a young boy who speaks to God. ([source][1]) [1]: https://www.stephenking.com/library/novel/desperation.html",0451188462
"Song of Susannah (The Dark Tower, #6)",,1416521496
"Cress (The Lunar Chronicles, #3)",,0312642970
His Dark Materials (His Dark Materials #1-3),,0440238609
Major Pettigrew's Last Stand,"You are about to travel to Edgecombe St. Mary, a small village in the English countryside filled with rolling hills, thatched cottages, and a cast of characters both hilariously original and as familiar as the members of your own family. Among them is Major Ernest Pettigrew (retired), the unlikely hero of Helen Simonson's wondrous debut. Wry, courtly, opinionated, and completely endearing, Major Pettigrew is one of the most indelible characters in contemporary fiction, and from the very first page of this remarkable novel he will steal your heart.The Major leads a quiet life valuing the proper things that Englishmen have lived by for generations: honor, duty, decorum, and a properly brewed cup of tea. But then his brother's death sparks an unexpected friendship with Mrs. Jasmina Ali, the Pakistani shopkeeper from the village. Drawn together by their shared love of literature and the loss of their respective spouses, the Major and Mrs. Ali soon find their friendship blossoming into something more. But village society insists on embracing him as the quintessential local and her as the permanent foreigner. Can their relationship survive the risks one takes when pursuing happiness in the face of culture and tradition?From the Hardcover edition.",1400068932
Blindness,,0156007754
The Westing Game,"Sixteen people were invited to the reading of the very strange will of the very rich Samuel W. Westing. They could become millionaires, depending on how they played the game. The not-quite-perfect heirs were paired, and each pair was given $10,000 and a set of clues (no two sets of clues were alike). All they had to do was find the answer, but the answer to what? The Westing game was tricky and dangerous, but the heirs played on, through blizzards and burglaries and bombs bursting in air. And one of them won! With her own special blend of intricacy, humor, and upside-down perceptions, Ellen Raskin has entangled a remarkable cast of characters in a puzzle-knotted, word-twisting plot. She then deftly unravels it again in a surprising (but fair) and highly satisfying ending. - Back cover. The mysterious death of an eccentric millionaire brings together an unlikely assortment of heirs who must uncover the circumstances of his death before they can claim their inheritance.",014240120X
1Q84,,0307593312
"The House of Hades (The Heroes of Olympus, #4)",,1423146727
No Country for Old Men,"In his blistering new novel, Cormac McCarthy returns to the Texas-Mexico border, setting of his famed Border Trilogy. The time is our own, when rustlers have given way to drug-runners and small towns have become free-fire zones. One day, a good old boy named Llewellyn Moss finds a pickup truck surrounded by a bodyguard of dead men. A load of heroin and two million dollars in cash are still in the back. When Moss takes the money, he sets off a chain reaction of catastrophic violence that not even the law--in the person of aging, disillusioned Sheriff Bell--can contain.As Moss tries to evade his pursuers--in particular a mysterious mastermind who flips coins for human lives--McCarthy simultaneously strips down the American crime novel and broadens its concerns to encompass themes as ancient as the Bible and as bloodily contemporary as this morning's headlines. No Country for Old Men is a triumph.From the Trade Paperback edition.",0375706674
"Fool Moon (The Dresden Files, #2)",,0451458125
Walk Two Moons,"After her mother leaves home suddenly, thirteen-year-old Sal and her grandparents take a car trip retracing her mother's route. Along the way, Sal recounts the story of her friend Phoebe, whose mother also left.",0060739495
The God Delusion,"Publication Date: January 16, 2008 A preeminent scientist—and the world's most prominent atheist—asserts the irrationality of belief in God and the grievous harm religion has inflicted on society, from the Crusades to 9/11. With rigor and wit, Dawkins examines God in all his forms, from the sex-obsessed tyrant of the Old Testament to the more benign (but still illogical) Celestial Watchmaker favored by some Enlightenment thinkers. He eviscerates the major arguments for religion and demonstrates the supreme improbability of a supreme being. He shows how religion fuels war, foments bigotry, and abuses children, buttressing his points with historical and contemporary evidence. _The God Delusion_ makes a compelling case that belief in God is not just wrong but potentially deadly. It also offers exhilarating insight into the advantages of atheism to the individual and society, not the least of which is a clearer, truer appreciation of the universe's wonders than any faith could ever muster.",0618680004
"Mr. Penumbra''s 24-Hour Bookstore (Mr. Penumbra''s 24-Hour Bookstore, #1)",,0374214913
"Will Grayson, Will Grayson","One cold night, in a most unlikely corner of Chicago, two teens—both named Will Grayson—are about to cross paths. As their worlds collide and intertwine, the Will Graysons find their lives going in new and unexpected directions, building toward romantic turns-of-heart and the epic production of history’s most fabulous high school musical.Hilarious, poignant, and deeply insightful, John Green and David Levithan’s collaborative novel is brimming with a double helping of the heart and humor that have won both them legions of faithful fans.",0525421580
Curious George,,039515023X
"Sabriel (Abhorsen,  #1)",,0064471837
The Marriage Plot,"The story concerns three college friends from Brown University—Madeleine, Leonard, and Mitchell—beginning in their senior year, 1982, and follows them during their first year post-graduation.",0374203059
Aesop's Fables,,0192840509
This is Where I Leave You,"International bestseller Jonathan Tropper joins Dutton with the book his fans in the trade have been waiting for him to write: an uproarious, sophisticated, and deeply moving breakout novel.Those who have already discovered Jonathan Tropper have called his novels ""hilarious, but emotion-packed,""1 ""fantastically funny,""2 ""surprisingly moving,""3 and ""utterly magnificent.""4 With his Dutton debut, Tropper has delivered a novel of true sophistication, at once light of touch and with a real sense of humor, without sacrificing a depth of character and raw emotion reminiscent of the early work of John Irving and Michael Chabon. This Is Where I Leave You opens with the death of Judd Foxman's father, an event that marks the first time in a decade that the entire Foxman family—including Judd's mother, brothers, and sister—have been together in the same house for an extended period...",052595127X
"Untamed (House of Night, #4)",,0312379838
The Master and Margarita,,0679760806
Preludes & Nocturnes (The Sandman #1),,1563892278
Remember Me?,"With the same wicked humor and delicious charm that have won her millions of devoted fans, Sophie Kinsella, author of the #1 New York Times bestseller Shopaholic & Baby, returns with an irresistible new novel and a fresh new heroine who finds herself in a life-changing and utterly hilarious predicament....When twenty-eight-year-old Lexi Smart wakes up in a London hospital, she's in for a big surprise. Her teeth are perfect. Her body is toned. Her handbag is Vuitton. Having survived a car accident--in a Mercedes no less--Lexi has lost a big chunk of her memory, three years to be exact, and she's about to find out just how much things have changed. Somehow Lexi went from a twenty-five-year-old working girl to a corporate big shot with a sleek new loft, a personal assistant, a carb-free diet, and a set of glamorous new friends. And who is this gorgeous husband--who also happens to be a multimillionaire? With her mind still stuck three years in reverse, Lexi greets this brave new world determined to be the person she...well, seems to be. That is, until an adorably disheveled architect drops the biggest bombshell of all. Suddenly Lexi is scrambling to catch her balance. Her new life, it turns out, comes complete with secrets, schemes, and intrigue. How on earth did all this happen? Will she ever remember? And what will happen when she does?From the Hardcover edition.",0593053893
The Neverending Story,,0525457585
"Anna and the French Kiss (Anna and the French Kiss, #1)",,0525423273
Quiet: The Power of Introverts in a World That Can't Stop Talking,,0307352145
Skeleton Crew,"From the Flap: The Master at his scarifying best! From heart-pounding terror to the eeriest of whimsy--tales from the outer limits of one of the greatest imaginations of our time! Evil that breathes and walks and shrieks, brave new worlds and horror shows, human desperation bursting into deadly menace--such are the themes of these astounding works of fiction. In the tradition of Poe and Stevenson, of Lovecraft and The Twilight Zone, Stephen King has fused images of fear as old as time with the iconography of contemporary American life to create his own special brand of horror--one that has kept millions of readers turning the pages even as they gasp. In the book-length story ""The Mist,"" a supermarket becomes the last bastion of humanity as a peril beyond dimension invades the earth. . . Touch ""The Man Who Would Not Shake Hands,"" and say your prayers . . . There are some things in attics which are better left alone, things like ""The Monkey"" . . . The most sublime woman driver on earth offers a man ""Mrs. Todd's Shortcut"" to paradise . . . A boy's sanity is pushed to the edge when he's left alone with the odious corpse of ""Gramma"" . . . If you were stunned by Gremlins, the Fornits of ""The Ballad of the Flexible Bullet"" will knock your socks off . . . Trucks that punish and beautiful teen demons who seduce a young man to massacre; curses whose malevolence grows through the years; obscene presences and angels of grace--here, indeed, is a night-blooming bouquet of chills and thrills. ([source][1]) ---------- Contains: - [The Mist](https://openlibrary.org/works/OL149144W/The_Mist) - Here There Be Tygers - [The Monkey](https://openlibrary.org/works/OL149146W/The_Monkey) - Cain Rose Up - [Mrs. Todd's Shortcut](https://openlibrary.org/works/OL149148W/Mrs._Todd's_Shortcut) - [The Jaunt](https://openlibrary.org/works/OL20663554W/The_Jaunt) - The Wedding Gig - Paranoid: a Chant - The Raft - [Word Processor of the Gods](https://openlibrary.org/works/OL20666372W/The_Word_Processor) - The Man Who Would Not Shake Hands - Beachworld - The Reaper's Image - [Nona](https://openlibrary.org/works/OL20666488W/Nona) - For Owen - Survivor Type - Uncle Otto's Truck - Morning Deliveries (Milkman No. 1) - Big Wheels: a Tale of the Laundry Game (Milkman No. 2) - Gramma - The Ballad of the Flexible Bullet - The Reach [1]: https://stephenking.com/library/story_collection/skeleton_crew_flap.html",0751504386
"Gathering Blue (The Giver, #2)",,0385732562
"Crown of Midnight (Throne of Glass, #2)",,1619630621
Seabiscuit: An American Legend,,0345465083
"Reflected in You (Crossfire, #2)",,0425263916
The Glass Menagerie,"The Glass Menagerie was Tennessee Williams's first great popular success. It won the New York Drama Critics Circle Award and enjoyed a long Broadway run with the incomparable Laurette Taylor in the starring role. Since then it has become one of the most-performed plays in the repertory of American community theaters. Also contained in: - [Backpack Literature: Fifth Edition](https://openlibrary.org/works/OL26371856W) - [Bedford Introduction to Literature: Reading, Thinking, Writing: 6th edition](https://openlibrary.org/works/OL27051398W) - [Contemporary Drama: Eleven Plays](https://openlibrary.org/works/OL7507900W) - [Experience of literature](https://openlibrary.org/works/OL15842685W) - [Experience of literature: second edition](https://openlibrary.org/works/OL6913239W) - [Exploring Literature: Fourth Edition](https://openlibrary.org/works/OL26428556W) - [Literature: Structure, sound, and sense: Fourth Edition](https://openlibrary.org/works/OL27052590W) - [Plays 1937 - 1955](https://openlibrary.org/works/OL15077942W/Plays_1937_-_1955) - [Representative Modern Plays, American](https://openlibrary.org/works/OL15858030W/Representative_Modern_Plays_American) - [Six Great Modern Plays](https://openlibrary.org/works/OL15163994W) - [Trio: Fourth Edition](https://openlibrary.org/works/OL27053317W) - [The United States in Literature][1] - [The United States in Literature][2] - [The United States in Literature](https://openlibrary.org/works/OL15164554W/The_United_States_in_Literature) - [United States in Literature][3] [1]: https://openlibrary.org/works/OL15395648W/The_United_States_in_Literature [2]: https://openlibrary.org/works/OL15395980W/The_United_States_in_Literature_The_Glass_Menagerie [3]: https://openlibrary.org/works/OL15155144W/United_States_in_Literature_The_Glass_Menagerie",0811214044
Shutter Island,"U.S. Marshal Teddy Daniels and his partner, Chuck Aule, come to Shutter Island's Ashcliffe Hospital in search of an escaped mental patient, but uncover true wickedness as Ashcliffe's mysterious patient treatments propel them to the brink of insanity.",038073186X
Americanah,"Americanah is a 2013 novel by the Nigerian author Chimamanda Ngozi Adichie, for which Adichie won the 2013 U.S. National Book Critics Circle Award for fiction. Americanah tells the story of a young Nigerian woman, Ifemelu, who immigrates to the United States to attend university. The novel traces Ifemelu's life in both countries, threaded by her love story with high school classmate Obinze.",0307271080
"Wolf Hall (Thomas Cromwell, #1)",,0007230206
Nine Stories,First published short story volume by the author of Catcher In The Rye.,0316767727
"Hamlet: Screenplay, Introduction And Film Diary","Often credited with creating a popular movie audience for Shakespeare, Kenneth Branagh has wanted for many years to bring to the screen the complete, full-length version of Hamlet, Shakespeare's greatest play. He has now done so - as director and as the prince of Denmark - making an emotionally moving, visually spectacular movie that will become a landmark in film history. The volume includes Kenneth Branagh's elegant introduction of the genesis of his role as Hamlet as well as his full screenplay adaptation. The production diary by Russell Jackson, Shakespearean scholar and script consultant on the movie, goes behind the scenes to show what it was like to film this lavish production and to work with the leading theater and movie actors of our time.",0393315053
"So Long, and Thanks for All the Fish (Hitchhiker''s Guide to the Galaxy, #4)",,0330491237
"Hyperion (Hyperion Cantos, #1)",,0553283685
Daughter of Fortune,,0061120251
"The Talisman (The Talisman, #1)",,0375507779
"Crescendo (Hush, Hush, #2)",,1416989439
"The Bourne Supremacy (Jason Bourne, #2)",,0752863886
"Guards! Guards! (Discworld, #8)",,0061020648
Inferno (The Divine Comedy #1),,0812970063
Brave New World / Brave New World Revisited,,0060776099
People of the Book,"I didn't actually read this book, I listened to it as an Audio-Book, and I think I liked it better for the listening. Perhaps I would have got a little lost at times, trying to read through the twists and turns that this amazing story took me. To follow the path of the Haggadah, an ancient Jewish religious book, back in time to it's creation and it's journey through time to the present day, was a sort of a book/paper/people forensic story, and it had me totally hooked. The book is based on the actual finding of a similar book in Sarajevo in the 1990's.",067001821X
"Journey to the Center of the Earth (Extraordinary Voyages, #3)",,0553213970
The Once and Future King (The Once and Future King #1-4),,0441627404
Stiff: The Curious Lives of Human Cadavers,,0393324826
Sophie's World,,1857993284
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,,1881273156
Falling Up,A collection of humorous poems and drawings.,0060513098
Contact,"In December, 1999, a multinational team journeys out to the stars, to the most awesome encounter in human history. Who -- or what -- is out there? In Cosmos, Carl Sagan explained the universe. In Contact, he predicts its future -- and our own.",2266079999
The Accidental Tourist,,0345452003
"The Fires of Heaven (Wheel of Time, #5)",,1857232097
Presumed Innocent,"The novel that launched Turow's career as one of America's pre-eminent thriller writers tells the story of Rusty Sabicch, chief deputy prosecutor in a large Midwestern city. With three weeks to go in his boss' re-election campaign, a member of Rusty's staff is found murdered; he is charged with finding the killer, until his boss loses and, incredibly, Rusty finds himself accused of the murder.",0446350982
Landline,"""Two days before they're supposed to visit his family in Omaha for Christmas, TV writer Georgie McCool tells her husband, Neal, that she has to stay in Los Angeles. She knows Neal will be upset -- but she doesn't expect him to pack up the kids and go without her. That night, Georgie discovers a way to communicate with Neal in the past. Is this an opportunity to fix her marriage before it starts...or should it never have happened?""--",1250049377
Four Past Midnight,"Four Past Midnight is a collection of novellas written by Stephen King in 1988 and 1989 and published in August 1990. It is his second book of this type, the first one being Different Seasons. The collection won the Bram Stoker Award in 1990 for Best Collection and was nominated for a Locus Award in 1991. One Past Midnight: ""[The Langoliers][1]"" takes a red-eye flight from L.A. to Boston into a most unfriendly sky. Only eleven passengers survive, but landing in an eerily empty world makes them wish they hadn't. Something's waiting for them, you see.... Two Past Midnight: ""[Secret Window, Secret Garden][2]"" enters the suddenly strange life of writer Mort Rainey, recently divorced, depressed, and alone on the shore of Tashmore Lake. Alone, that is, until a figure named John Shooter arrives, pointing an accusing finger. Three Past Midnight: ""[The Library Policeman][3]"" is set in Junction City, Iowa, an unlikely place for evil to be hiding. But for small businessman Sam Peebles, who thinks he may be losing his mind, another enemy is hiding there as well--the truth. If he can find it in time, he might stand a chance. Four Past Midnight: The flat surface of a Polaroid photograph becomes for fifteen-year-old Kevin Delevan an invitation to the supernatural. Old Pop Merrill, Castle Rock's sharpest trader, wants to crash the party for profit, but ""[The Sun Dog][4],"" a creature that shouldn't exist at all, is a very dangerous investment. [1]: https://openlibrary.org/works/OL149138W/The_Langoliers [2]: https://openlibrary.org/works/OL14917476W/Secret_Window_Secret_Garden [3]: https://openlibrary.org/works/OL14917299W/The_Library_Policeman [4]: https://openlibrary.org/works/OL14916850W/The_Sun_Dog",0450542882
"Red Rising (Red Rising, #1)",,0345539788
"The Fiery Cross (Outlander, #5)",,0440221668
Second Foundation (Foundation #3),,0553803735
I Am Legend and Other Stories,,031286504X
The Sense of an Ending,"By an acclaimed writer at the height of his powers, The Sense of an Ending extends a streak of extraordinary books that began with the best-selling Arthur & George and continued with Nothing to Be Frightened Of and, most recently, Pulse. This intense new novel follows a middle-aged man as he contends with a past he has never much thought about—until his closest childhood friends return with a vengeance, one of them from the grave, another maddeningly present. Tony Webster thought he’d left all this behind as he built a life for himself, and by now his marriage and family and career have fallen into an amicable divorce and retirement. But he is then presented with a mysterious legacy that obliges him to reconsider a variety of things he thought he’d understood all along, and to revise his estimation of his own nature and place in the world. A novel so compelling that it begs to be read in a single sitting, with stunning psychological and emotional depth and sophistication, The Sense of an Ending is a brilliant new chapter in Julian Barnes’s oeuvre.",0224094157
Jaws,"Jaws is a 1974 novel by American writer Peter Benchley. It tells the story of a great white shark that preys upon a small resort town and the voyage of three men trying to kill it. The novel grew out of Benchley's interest in shark attacks after he learned about the exploits of Montauk, New York shark fisherman Frank Mundus in 1964. Doubleday commissioned him to write the novel in 1971, a period when Benchley worked as a freelance journalist. ---------- Also contained in: - [Best Sellers from Reader's Digest Condensed Books](https://openlibrary.org/works/OL15134116W) - [Reader's Digest Condensed Books. Volume 2 - 1974](https://openlibrary.org/works/OL15150299W) - [Three Complete Novels](https://openlibrary.org/works/OL3454878W/)",1400064562
Eye of the Needle,,006074815X
"Lord of Chaos (Wheel of Time, #6)",,0812513754
"Persepolis: The Story of a Childhood (Persepolis, #1)",,037571457X
